AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2020;Diciembre;CENTRO;20;16;33;17;25;25;11;147
2020;Diciembre;ARGANZUELA;12;2;26;3;12;8;3;66
2020;Diciembre;RETIRO;3;5;15;9;8;10;4;54
2020;Diciembre;SALAMANCA;10;11;17;11;20;23;5;97
2020;Diciembre;CHAMARTIN;8;3;22;8;12;14;3;70
2020;Diciembre;TETUAN;23;2;18;10;12;17;0;82
2020;Diciembre;CHAMBERI;6;9;23;5;13;10;3;69
2020;Diciembre;FUENCARRAL;29;7;31;7;22;20;4;120
2020;Diciembre;MONCLOA;3;3;24;1;17;14;2;64
2020;Diciembre;LATINA;21;4;26;8;24;20;1;104
2020;Diciembre;CARABANCHEL;23;6;35;7;14;27;2;114
2020;Diciembre;USERA;15;3;14;2;15;13;4;66
2020;Diciembre;PUENTE VALLECAS;32;10;35;10;11;20;5;123
2020;Diciembre;MORATALAZ;13;2;11;3;0;7;0;36
2020;Diciembre;CIUDAD LINEAL;14;8;23;4;20;19;5;93
2020;Diciembre;HORTALEZA;15;7;24;3;22;18;3;92
2020;Diciembre;VILLAVERDE;34;3;13;4;17;9;1;81
2020;Diciembre;VILLA DE VALLECAS;29;2;15;3;7;10;2;68
2020;Diciembre;VICALVARO;8;2;8;1;6;5;1;31
2020;Diciembre;SAN BLAS;22;4;22;3;14;16;0;81
2020;Diciembre;BARAJAS;6;2;5;0;1;6;7;27
2020;Diciembre;SIN DISTRITO;1;0;5;0;0;2;0;8
2020;Noviembre;CENTRO;21;16;31;8;22;24;7;129
2020;Noviembre;ARGANZUELA;5;2;23;7;6;6;1;50
2020;Noviembre;RETIRO;6;7;17;5;12;11;5;63
2020;Noviembre;SALAMANCA;12;3;24;12;10;17;3;81
2020;Noviembre;CHAMARTIN;6;4;14;6;7;14;8;59
2020;Noviembre;TETUAN;18;8;21;7;13;13;2;82
2020;Noviembre;CHAMBERI;12;8;19;8;15;8;4;74
2020;Noviembre;FUENCARRAL;16;5;19;5;24;26;4;99
2020;Noviembre;MONCLOA;15;2;19;6;14;18;2;76
2020;Noviembre;LATINA;15;1;29;5;10;29;3;92
2020;Noviembre;CARABANCHEL;18;2;25;8;14;28;5;100
2020;Noviembre;USERA;20;0;17;2;5;12;6;62
2020;Noviembre;PUENTE VALLECAS;20;6;28;11;16;28;3;112
2020;Noviembre;MORATALAZ;5;1;10;5;7;8;0;36
2020;Noviembre;CIUDAD LINEAL;16;5;32;1;14;19;4;91
2020;Noviembre;HORTALEZA;12;2;18;7;16;15;7;77
2020;Noviembre;VILLAVERDE;19;2;25;4;10;20;5;85
2020;Noviembre;VILLA DE VALLECAS;27;0;10;3;8;15;3;66
2020;Noviembre;VICALVARO;3;1;9;2;2;2;1;20
2020;Noviembre;SAN BLAS;14;2;13;1;14;13;0;57
2020;Noviembre;BARAJAS;6;2;5;2;7;8;3;33
2020;Octubre;CENTRO;18;19;33;12;38;22;6;148
2020;Octubre;ARGANZUELA;5;6;25;9;27;18;1;91
2020;Octubre;RETIRO;3;4;9;3;22;13;1;55
2020;Octubre;SALAMANCA;14;15;24;7;43;24;38;165
2020;Octubre;CHAMARTIN;9;1;16;3;50;23;5;107
2020;Octubre;TETUAN;13;10;25;11;26;21;7;113
2020;Octubre;CHAMBERI;14;18;20;6;47;17;3;125
2020;Octubre;FUENCARRAL;12;6;37;13;68;28;7;171
2020;Octubre;MONCLOA;8;10;16;6;52;27;0;119
2020;Octubre;LATINA;34;6;33;6;59;28;4;170
2020;Octubre;CARABANCHEL;17;8;30;6;46;24;4;135
2020;Octubre;USERA;17;6;18;3;26;20;2;92
2020;Octubre;PUENTE VALLECAS;20;9;39;5;60;25;3;161
2020;Octubre;MORATALAZ;9;2;9;4;36;16;2;78
2020;Octubre;CIUDAD LINEAL;16;9;33;7;83;25;2;175
2020;Octubre;HORTALEZA;16;7;18;3;58;32;4;138
2020;Octubre;VILLAVERDE;21;4;16;5;43;19;3;111
2020;Octubre;VILLA DE VALLECAS;36;5;13;4;25;25;7;115
2020;Octubre;VICALVARO;13;3;10;2;22;6;2;58
2020;Octubre;SAN BLAS;13;5;19;3;67;27;1;135
2020;Octubre;BARAJAS;9;2;4;1;14;9;4;43
2020;Octubre;FUERA TERMINO MUNICIPAL;0;0;0;0;0;2;0;2
2020;Septiembre;CENTRO;29;17;26;26;26;41;1;166
2020;Septiembre;ARGANZUELA;11;3;21;9;18;12;2;76
2020;Septiembre;RETIRO;8;5;11;6;24;11;1;66
2020;Septiembre;SALAMANCA;13;13;28;15;26;15;2;112
2020;Septiembre;CHAMARTIN;8;10;15;12;27;31;1;104
2020;Septiembre;TETUAN;8;10;13;24;8;17;1;81
2020;Septiembre;CHAMBERI;22;6;33;15;19;18;0;113
2020;Septiembre;FUENCARRAL;22;3;24;14;37;26;0;126
2020;Septiembre;MONCLOA;4;8;26;18;35;32;0;123
2020;Septiembre;LATINA;32;4;26;17;39;33;1;152
2020;Septiembre;CARABANCHEL;31;6;25;15;30;27;1;135
2020;Septiembre;USERA;9;1;7;6;13;15;2;53
2020;Septiembre;PUENTE VALLECAS;37;3;38;11;17;30;0;136
2020;Septiembre;MORATALAZ;19;0;9;5;23;10;1;67
2020;Septiembre;CIUDAD LINEAL;17;3;27;11;34;19;3;114
2020;Septiembre;HORTALEZA;10;1;15;17;35;30;0;108
2020;Septiembre;VILLAVERDE;30;1;14;8;16;19;3;91
2020;Septiembre;VILLA DE VALLECAS;42;1;10;4;7;19;2;85
2020;Septiembre;VICALVARO;16;1;12;3;5;8;0;45
2020;Septiembre;SAN BLAS;9;1;17;8;33;18;1;87
2020;Septiembre;BARAJAS;12;3;3;5;5;12;1;41
2020;Agosto;ARGANZUELA;15;3;17;14;21;12;1;83
2020;Agosto;RETIRO;7;4;8;9;21;10;0;59
2020;Agosto;SALAMANCA;15;9;29;24;25;15;1;118
2020;Agosto;CHAMARTIN;6;4;13;19;27;15;1;85
2020;Agosto;TETUAN;10;6;24;15;22;15;2;94
2020;Agosto;CHAMBERI;12;11;25;11;17;15;4;95
2020;Agosto;FUENCARRAL;27;2;31;17;31;18;1;127
2020;Agosto;MONCLOA;11;2;24;10;27;14;2;90
2020;Agosto;LATINA;27;6;38;14;34;34;0;153
2020;Agosto;CARABANCHEL;25;2;35;6;24;32;1;125
2020;Agosto;USERA;24;3;33;4;21;17;1;103
2020;Agosto;PUENTE VALLECAS;28;4;39;19;32;30;2;154
2020;Agosto;MORATALAZ;12;0;9;7;16;7;0;51
2020;Agosto;CIUDAD LINEAL;14;3;30;12;64;23;0;146
2020;Agosto;HORTALEZA;20;3;26;7;47;36;2;141
2020;Agosto;VILLAVERDE;38;1;21;7;27;24;2;120
2020;Agosto;VILLA DE VALLECAS;52;2;10;4;11;19;0;98
2020;Agosto;VICALVARO;12;0;11;3;11;11;0;48
2020;Agosto;SAN BLAS;11;6;23;14;44;13;2;113
2020;Agosto;BARAJAS;12;1;4;3;5;9;4;38
2020;Agosto;FUERA TERMINO MUNICIPAL;0;0;1;0;0;0;0;1
2020;Julio;CENTRO;32;21;41;18;24;40;3;179
2020;Julio;ARGANZUELA;20;12;37;13;52;15;4;153
2020;Julio;RETIRO;8;8;16;6;34;18;3;93
2020;Julio;SALAMANCA;11;10;25;14;41;23;3;127
2020;Julio;CHAMARTIN;12;3;22;10;46;24;7;124
2020;Julio;TETUAN;21;7;32;8;20;11;4;103
2020;Julio;CHAMBERI;22;10;28;9;35;24;2;130
2020;Julio;FUENCARRAL;45;6;34;5;41;28;1;160
2020;Julio;MONCLOA;12;2;26;6;43;21;1;111
2020;Julio;LATINA;38;6;32;8;52;35;1;172
2020;Julio;CARABANCHEL;37;8;45;10;43;31;2;176
2020;Julio;USERA;19;3;25;4;34;20;4;109
2020;Julio;PUENTE VALLECAS;44;4;40;7;52;41;2;190
2020;Julio;MORATALAZ;14;2;14;3;12;9;0;54
2020;Julio;CIUDAD LINEAL;30;8;29;8;56;35;0;166
2020;Julio;HORTALEZA;24;4;22;10;48;29;0;137
2020;Julio;VILLAVERDE;45;3;18;3;32;27;2;130
2020;Julio;VILLA DE VALLECAS;74;3;18;3;13;31;0;142
2020;Julio;VICALVARO;20;1;9;4;15;9;0;58
2020;Julio;SAN BLAS;17;3;25;4;55;24;0;128
2020;Julio;BARAJAS;8;1;3;6;4;10;1;33
2020;Junio;CENTRO;20;18;42;11;33;30;1;155
2020;Junio;ARGANZUELA;22;9;29;8;32;20;4;124
2020;Junio;RETIRO;8;6;14;3;26;10;1;68
2020;Junio;SALAMANCA;12;13;17;8;31;16;1;98
2020;Junio;CHAMARTIN;9;6;14;8;46;19;0;102
2020;Junio;TETUAN;16;10;24;11;13;19;2;95
2020;Junio;CHAMBERI;15;9;25;1;18;21;0;89
2020;Junio;FUENCARRAL;41;4;30;8;36;21;0;140
2020;Junio;MONCLOA;25;7;18;3;28;20;0;101
2020;Junio;LATINA;35;3;33;6;34;30;0;141
2020;Junio;CARABANCHEL;28;2;35;6;38;28;1;138
2020;Junio;USERA;15;1;12;5;26;16;1;76
2020;Junio;PUENTE VALLECAS;30;6;35;7;31;32;1;142
2020;Junio;MORATALAZ;6;1;12;2;21;7;4;53
2020;Junio;CIUDAD LINEAL;22;3;22;6;50;17;1;121
2020;Junio;HORTALEZA;28;2;16;4;32;21;0;103
2020;Junio;VILLAVERDE;34;5;20;1;27;15;1;103
2020;Junio;VILLA DE VALLECAS;50;2;14;3;10;12;0;91
2020;Junio;VICALVARO;17;1;10;2;9;18;0;57
2020;Junio;SAN BLAS;17;4;22;4;47;20;0;114
2020;Junio;BARAJAS;3;0;9;0;7;7;0;26
2020;Junio;FUERA TERMINO MUNICIPAL;0;0;1;0;0;1;0;2
2020;Mayo;CENTRO;26;18;43;11;27;8;1;134
2020;Mayo;ARGANZUELA;13;14;37;18;36;16;1;135
2020;Mayo;RETIRO;11;5;13;7;31;2;0;69
2020;Mayo;SALAMANCA;7;9;25;19;17;9;1;87
2020;Mayo;CHAMARTIN;9;6;24;13;29;5;1;87
2020;Mayo;TETUAN;9;9;16;11;20;3;0;68
2020;Mayo;CHAMBERI;11;8;27;7;22;5;0;80
2020;Mayo;FUENCARRAL;25;6;49;8;29;12;0;129
2020;Mayo;MONCLOA;16;2;31;7;22;6;0;84
2020;Mayo;LATINA;16;4;37;4;33;8;3;105
2020;Mayo;CARABANCHEL;18;4;38;5;19;8;0;92
2020;Mayo;USERA;8;3;30;5;10;2;0;58
2020;Mayo;PUENTE VALLECAS;21;9;43;17;28;5;3;126
2020;Mayo;MORATALAZ;10;0;10;3;22;4;0;49
2020;Mayo;CIUDAD LINEAL;13;5;21;10;47;3;0;99
2020;Mayo;HORTALEZA;8;1;39;8;38;6;0;100
2020;Mayo;VILLAVERDE;24;4;43;3;18;7;1;100
2020;Mayo;VILLA DE VALLECAS;15;1;34;1;5;24;0;80
2020;Mayo;VICALVARO;1;1;11;4;8;3;0;28
2020;Mayo;SAN BLAS;10;5;36;9;52;3;1;116
2020;Mayo;BARAJAS;4;2;17;10;13;1;0;47
2020;Mayo;FUERA TERMINO MUNICIPAL;3;0;4;0;1;0;1;9
2020;Abril;CENTRO;14;19;70;12;19;12;15;161
2020;Abril;ARGANZUELA;13;7;45;11;14;14;3;107
2020;Abril;RETIRO;1;9;14;5;12;3;0;44
2020;Abril;SALAMANCA;4;10;34;11;14;5;0;78
2020;Abril;CHAMARTIN;9;5;25;6;11;7;1;64
2020;Abril;TETUAN;10;6;15;13;10;7;3;64
2020;Abril;CHAMBERI;6;12;21;4;12;8;1;64
2020;Abril;FUENCARRAL;6;3;31;5;18;4;0;67
2020;Abril;MONCLOA;1;1;44;7;12;6;2;73
2020;Abril;LATINA;7;8;30;8;11;9;1;74
2020;Abril;CARABANCHEL;14;5;26;7;19;6;2;79
2020;Abril;USERA;12;2;17;6;9;10;4;60
2020;Abril;PUENTE VALLECAS;9;7;33;9;25;9;4;96
2020;Abril;MORATALAZ;3;1;14;5;4;0;0;27
2020;Abril;CIUDAD LINEAL;6;7;33;5;16;7;0;74
2020;Abril;HORTALEZA;5;6;35;2;18;2;1;69
2020;Abril;VILLAVERDE;8;1;19;10;8;4;1;51
2020;Abril;VILLA DE VALLECAS;8;1;15;0;5;4;2;35
2020;Abril;VICALVARO;1;2;11;3;4;2;1;24
2020;Abril;SAN BLAS;4;6;19;1;19;4;0;53
2020;Abril;BARAJAS;3;1;9;2;4;1;8;28
2020;Abril;FUERA TERMINO MUNICIPAL;1;0;0;0;0;0;0;1
2020;Marzo;CENTRO;21;21;49;12;35;12;5;155
2020;Marzo;ARGANZUELA;17;12;52;12;18;13;4;128
2020;Marzo;RETIRO;12;4;21;7;10;5;0;59
2020;Marzo;SALAMANCA;5;6;29;10;18;9;3;80
2020;Marzo;CHAMARTIN;8;6;23;11;26;6;2;82
2020;Marzo;TETUAN;19;11;29;10;22;8;0;99
2020;Marzo;CHAMBERI;9;15;14;6;17;4;0;65
2020;Marzo;FUENCARRAL;14;14;38;5;38;7;3;119
2020;Marzo;MONCLOA;10;6;34;6;30;4;4;94
2020;Marzo;LATINA;15;15;29;5;23;10;1;98
2020;Marzo;CARABANCHEL;19;8;34;6;40;11;2;120
2020;Marzo;USERA;13;4;16;6;13;7;1;60
2020;Marzo;PUENTE VALLECAS;22;15;29;12;27;8;1;114
2020;Marzo;MORATALAZ;6;1;15;4;18;7;0;51
2020;Marzo;CIUDAD LINEAL;9;9;29;10;34;7;0;98
2020;Marzo;HORTALEZA;11;10;20;3;43;6;3;96
2020;Marzo;VILLAVERDE;29;9;21;7;15;7;2;90
2020;Marzo;VILLA DE VALLECAS;17;6;13;5;4;5;1;51
2020;Marzo;VICALVARO;6;1;3;1;2;2;0;15
2020;Marzo;SAN BLAS;20;11;14;5;36;5;0;91
2020;Marzo;BARAJAS;10;1;1;1;12;3;5;33
2020;Febrero;CENTRO;30;18;42;11;43;8;10;162
2020;Febrero;ARGANZUELA;14;1;15;9;11;6;6;62
2020;Febrero;RETIRO;13;3;5;6;10;3;1;41
2020;Febrero;SALAMANCA;14;13;16;7;20;1;6;77
2020;Febrero;CHAMARTIN;7;7;11;8;13;3;9;58
2020;Febrero;TETUAN;11;8;12;7;25;2;6;71
2020;Febrero;CHAMBERI;19;2;20;7;20;2;4;74
2020;Febrero;FUENCARRAL;25;5;16;4;29;6;8;93
2020;Febrero;MONCLOA;13;0;16;7;11;6;15;68
2020;Febrero;LATINA;17;5;19;15;27;9;11;103
2020;Febrero;CARABANCHEL;33;5;21;5;20;12;9;105
2020;Febrero;USERA;12;1;8;7;8;2;2;40
2020;Febrero;PUENTE VALLECAS;35;2;27;8;22;7;2;103
2020;Febrero;MORATALAZ;8;0;9;3;7;4;2;33
2020;Febrero;CIUDAD LINEAL;21;2;15;4;24;2;1;69
2020;Febrero;HORTALEZA;10;3;18;2;11;5;6;55
2020;Febrero;VILLAVERDE;25;1;8;5;16;5;7;67
2020;Febrero;VILLA DE VALLECAS;26;2;12;4;11;6;0;61
2020;Febrero;VICALVARO;12;1;4;1;7;4;1;30
2020;Febrero;SAN BLAS;11;6;11;3;13;5;2;51
2020;Febrero;BARAJAS;10;1;3;6;6;3;2;31
2020;Enero;CENTRO;36;37;36;22;47;10;12;200
2020;Enero;ARGANZUELA;21;12;24;4;20;11;6;98
2020;Enero;RETIRO;9;11;9;8;25;4;1;67
2020;Enero;SALAMANCA;11;17;23;6;29;8;6;100
2020;Enero;CHAMARTIN;12;15;23;4;29;8;11;102
2020;Enero;TETUAN;20;19;31;9;43;4;7;133
2020;Enero;CHAMBERI;13;15;25;8;27;7;1;96
2020;Enero;FUENCARRAL;27;14;26;10;49;12;9;147
2020;Enero;MONCLOA;12;11;17;3;39;6;5;93
2020;Enero;LATINA;31;10;21;11;56;14;2;145
2020;Enero;CARABANCHEL;51;15;28;7;44;7;7;159
2020;Enero;USERA;25;8;13;3;27;7;6;89
2020;Enero;PUENTE VALLECAS;47;18;23;5;33;7;4;137
2020;Enero;MORATALAZ;17;4;11;6;16;6;2;62
2020;Enero;CIUDAD LINEAL;26;13;20;10;37;5;3;114
2020;Enero;HORTALEZA;15;17;16;6;38;4;3;99
2020;Enero;VILLAVERDE;33;10;18;9;25;6;4;105
2020;Enero;VILLA DE VALLECAS;32;7;14;3;24;4;1;85
2020;Enero;VICALVARO;17;6;11;3;15;4;0;56
2020;Enero;SAN BLAS;25;18;10;3;38;9;4;107
2020;Enero;BARAJAS;5;3;1;2;5;5;0;21
2020;;;;;;;;;;
2020;;;;;;;;;;
