 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
11230042;"Alfabetización informacional. Unidad 2: Sistema Operativo Windows10";"";"1";"1";"L,M,X,J";"";"2021-01-19 00:00:00.0";"2021-02-01 23:59:00.0";"";"La alfabetización informacional trata de dar a conocer los principales conceptos sobre el uso de las tecnologías de la información y la comunicación.   Los talleres se irán publicando en las fechas señaladas, a través del canal de Youtube de Bibliotecas Públicas y no es necesaria inscripción previa. Se podrá acceder a ellos, en cualquier momento después de su publicación, a través del enlace insertado en la relación de contenidos.  Esta unidad está compuesta por 8 clases, en las que se tratarán los siguientes contenidos:     Unidad 2. Sistema Operativo Windows 10       19 enero Sistemas Operativos. Windows. Iniciar el ordenador. Escritorio de Windows. Ventanas.    20 enero  Accesorios de Windows. Barra de tareas. Volumen del sistema. Cuadros de diálogos.   21 enero  Ratón. Teclado. Aplicaciones para practicar el teclado y el ratón.   25 enero  Personalización del sistema.    26 enero  Configuración de Windows. Panel de control.   27 enero  Explorador de Windows. Crear, renombrar, seleccionar, copiar, mover y eliminar archivos y carpetas. Dispositivos de almacenamiento. Comprimir y descomprimir archivos y carpetas.    28 enero  Herramientas del sistema.    1 febrero  Administración del sistema.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9fef0c13955b4710VgnVCM2000001f4a900aRCRD";"Alfabetización informacional: informática básica para adultos";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9bbd0c13955b4710VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CursosTalleres";"";
11230047;"Alfabetización informacional. Unidad 3: Procesamiento de información con herramientas ofimáticas.";"";"1";"1";"L,M,X,J,V";"19/2/2021;";"2021-02-02 00:00:00.0";"2021-02-25 23:59:00.0";"";"La alfabetización informacional trata de dar a conocer los principales conceptos sobre el uso de las tecnologías de la información y la comunicación. Los talleres se irán publicando en las fechas señaladas, a través del canal de Youtube de Bibliotecas Públicas y no es necesaria inscripción previa. Se podrá acceder a ellos, en cualquier momento después de su publicación, a través del enlace insertado en la relación de contenidos. Esta unidad está compuesta por 17 clases, en las que se tratarán los siguientes contenidos:      Unidad 3. Procesamiento de información con herramientas ofimáticas       2 febrero  Introducción al procesador de texto Microsoft Word    3 febrero  Ortografía y gramática. Aplicar formato al documento, búsqueda y reemplazar    4 febrero  Estilos, borrar formato, crear, modificar y borrar estilos, combinar correspondencia.    5 febrero  Diseño de página. Orientación, márgenes, tamaño, saltos de página, numeración, encabezado y pie de página    8 febrero  Insertar y dibujar tablas, insertar filas y columnas, combinar, aplicar estilos, alineación, propiedades de tablas    9 febrero  Insertar imágenes y gráficos (en línea y desde ordenador). Recortar, ajustes, efectos, bordes, organización, tamaño. Creación de   gráficos a partir de una tabla.   10 febrero  Organigramas y diagramas. Impresión de documentos   11 febrero  Microsoft Excel, características generales. Acceder y salir del Excel, ambiente de trabajo en Excel. Crear, guardar, abrir y cerrar un   libro. Renombrar y aplicar colores a las hojas. Celdas, filas, columnas y celda activa   12 febrero   Aplicar formato de celdas. Corrección de ortografía. Buscar y Reemplazar. Tablas en excel, tablas dinámicas. Referencias   15 febrero   Rangos, tipos de rangos, operaciones con rangos: mover, copiar y borrar el contenido de un rango   16 febrero   Cración de gráficos a partir de una tabla   17 febrero   Ordenar, filtrar y validar datos. Fórmulas y Funciones para cálculos matemáticos y estadísticos. Impresión   18 febrero   Power Point, características generales. Acceder y salir del PowerPoint, ambiente de trabajo. Crear, guardar, abrir y cerrar una   presentación. Teclas rápidas. Vistas presentación. Agregar, eliminar, añadir textos e hipervínculos y aplicar formato diapositivas   22 febrero   Insertar imágenes: capturas, en línea y desde el ordenador. Formas, gráficos, agrupar, reagrupar y desagrupar   23 febrero   Aplicar animaciones y transiciones.   24 febrero   Insertar audio y video a una presentación. Creación de tablas para presentación.   25 febrero   Realizar presentación de diapositivas. Agregar notas del orador. Impresión";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=43e00c13955b4710VgnVCM2000001f4a900aRCRD";"Alfabetización informacional: informática básica para adultos";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9bbd0c13955b4710VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CursosTalleres";"";
11230046;"Alfabetización informacional. Unidad 4: Intercambio y búsqueda de información a través de internet.";"";"1";"1";"L,M,X,J,V";"";"2021-03-01 00:00:00.0";"2021-03-15 23:59:00.0";"";"La alfabetización informacional trata de dar a conocer los principales conceptos sobre el uso de las tecnologías de la información y la comunicación.  Los talleres se irán publicando en las fechas señaladas, a través del canal de Youtube de Bibliotecas Públicas y no es necesaria inscripción previa. Se podrá acceder a ellos, en cualquier momento después de su publicación, a través del enlace insertado en la relación de contenidos. Esta unidad está compuesta por 11 clases, en las que se tratarán los siguientes contenidos:    Unidad 4. Intercambio y búsqueda de información en Internet     1 marzo Introducción a Internet, origen y evolución. Características, navegadores, buscadores, direcciones y dominios. Principales servicios de Internet   2 marzo Navegadores de Internet: Google Chrome, Mozilla Firefox, Microsoft Edge. Entorno, extensiones, configuración y marcadores   3 marzo Seguridad en Internet: Antivirus. Navegación segura para adultos y padres. Buscadores en Internet. Google Drive, Contactos, Calendar, Traductor de Google    4 marzo  Correo electrónico: crear, redactar, borradores, adjuntar archivos. Wetranfer. Gestores de descarga   5 marzo  Google Maps   8 marzo  Espacios culturales de Internet: visitas virtuales   9 marzo  Bibliotecas digitales. Webs con información histórica de Madrid. Uso del catálogo único de Bibliotecas Municipales de Madrid, uso de catálogo del Archivo de la Villa y de los museos en CERES   10 marzo  Gestiones a través de Internet: sacar citas, reservas, servicios de Ayuntamientos, movilidad, transporte, servicios sociales y salud    11 marzo  Búsqueda activa de empleo a través de Internet    12 marzo  Cultura, ocio y deporte a través de Internet: noticias, radio, YouTube, audio libros, pasatiempos y diversión, cultura, teatros, buscar descuentos   15 marzo Redes Sociales (Facebook, Twitter, Lindedin), blogs, foros y mensajería instantánea (Whatsapp y Telegram)";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=02c00c13955b4710VgnVCM2000001f4a900aRCRD";"Alfabetización informacional: informática básica para adultos";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9bbd0c13955b4710VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CursosTalleres";"";
11230045;"Alfabetización informacional. Unidad 5: Comunicación y configuración desde el movil.";"";"1";"1";"L,M,X,J";"1/4/2021;2/4/2021;29/3/2021;30/3/2021;31/3/2021;";"2021-03-16 00:00:00.0";"2021-04-08 23:59:00.0";"";"La alfabetización informacional trata de dar a conocer los principales conceptos sobre el uso de las tecnologías de la información y la comunicación. Los talleres se irán publicando en las fechas señaladas, a través del canal de Youtube de Bibliotecas Públicas y no es necesaria inscripción previa. Se podrá acceder a ellos, en cualquier momento después de su publicación, a través del enlace insertado en la relación de contenidos. Esta unidad está compuesta de 11 clases, en las que se tratarán los siguientes contenidos:    Unidad 5. Comunicación y configuración desde el móvil     16 marzo Dispositivo móvil (teléfonos inteligentes), características fundamentales, tarjetas, encendido, acceso, actualizaciones, contactos, tarjeta de memoria.   17 marzo Copia de seguridad de nuestros datos en el ordenador y copia de seguridad de fotos en la Nube   18 marzo Descargar, instalar y actualizar aplicaciones. Explorador de archivos. Crear, copiar, mover y eliminar archivos y carpetas   22 marzo  Cámara, grabadora de sonidos, bloquear contacto, lector códigos QR   23 marzo  Aplicación reloj. Tiempo meteorológico y noticias con nuestro Smartphone. Asistente de Google   24 marzo  Configuración del teléfono: conexiones (datos WiFi, Bluetooth), pantalla principal y fondos, sonidos, notificaciones, aplicaciones   25 marzo  Configuración del teléfono: batería, almacenamiento, seguridad, cuentas, restablecer de fábrica   5 abril  Aplicaciones de Google. Google Chrome, Google Calendar, Google Keep, Gmail, Drive. Video llamadas con Meet y Duo. Traductor. Fotos   6 abril  Mantenimiento y protección de nuestro móvil: aplicaciones de mantenimiento, herramientas de optimización: CCleaner y Clean Master   7 abril  Vídeos, películas, documentales, radio   8 abril Sugerencias de los alumnos";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1a900c13955b4710VgnVCM2000001f4a900aRCRD";"Alfabetización informacional: informática básica para adultos";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9bbd0c13955b4710VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CursosTalleres";"";
11312746;"Amor a la línea";"";"1";"1";"L,M,X,J,V,S,D";"";"2021-01-11 00:00:00.0";"2021-03-30 23:59:00.0";"08:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e9f3271de0447710VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal José Hierro (San Blas-Canillejas)";"1,6";"CALLE";"MARIA SEVILLA DIAGO";"15";"SAN BLAS-CANILLEJAS";"ROSAS";"28022";"448214";"4476029";"40.433291625973624";"-3.6105662311927453";"/contenido/actividades/Exposiciones";"";
11289798;"Club de lectura en inglés 'Reading Club'";"";"1";"1";"L";"";"2021-01-18 00:00:00.0";"2021-04-26 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb030e865e076710VgnVCM2000001f4a900aRCRD";"Club de lectura en inglés 'Reading Club'";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=50a20e865e076710VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CursosTalleres";"";
11300028;"Cucú-tras para bebés";"";"1";"0";"";"";"2021-02-05 00:00:00.0";"2021-02-05 23:59:00.0";"18:00";"Este cuento trata sobre diferentes animales, para que los niños pueden identificarlos fácilmente, aprendiendo los nombres y los sonidos que emiten cada uno de ellos.  Lectura y dinamización para niños y niñas de 0 a 3 años. Actividad virtual. Imprescindible inscripción previa.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=61ab423a231f6710VgnVCM2000001f4a900aRCRD";"Leyendo cuentos para bebés";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=95c1f500d625e510VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños";
11300231;"Cucú-tras para bebés";"";"1";"0";"";"";"2021-02-05 00:00:00.0";"2021-02-05 23:59:00.0";"19:00";"?Este cuento trata sobre diferentes animales, para que los niños pueden identificarlos fácilmente, aprendiendo los nombres y los sonidos que emiten cada uno de ellos.  Lectura y dinamización para niños y niñas de 0 a 3 años. Actividad virtual. Imprescindible inscripción previa.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2813423a231f6710VgnVCM2000001f4a900aRCRD";"Leyendo cuentos para bebés";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=95c1f500d625e510VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños";
11308372;"De 3 a 5 años: 'Alice in the Wonderland' and 'Snow White'";"";"1";"0";"";"";"2021-03-03 00:00:00.0";"2021-03-03 23:59:00.0";"18:00";"Lectura y dinamización de ambos cuentos. Para niños y niñas de 3 a 5 años. Actividad virtual. Imprescindible inscripción previa.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cabbd21461a37710VgnVCM1000001d4a900aRCRD";"Leyendo cuentos en inglés en enero";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bcfc9fb522666710VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CursosTalleres";"/usuario/Niños,/usuario/Familias";
11316045;"De 3 a 5 años: 'Alice in the Wonderland' and 'Snow White'";"";"1";"0";"";"";"2021-03-05 00:00:00.0";"2021-03-05 23:59:00.0";"18:00";"Lectura y dinamización de ambos cuentos. Para niños y niñas de 3 a 5 años. Actividad virtual. Imprescindible inscripción previa.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=797d7d9841f47710VgnVCM1000001d4a900aRCRD";"Leyendo cuentos en inglés en enero";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bcfc9fb522666710VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CursosTalleres";"/usuario/Niños,/usuario/Familias";
11315998;"De 3 a 5 años: 'Alicia en el país de las Maravillas' y 'Blancanieves'";"";"1";"0";"";"";"2021-03-12 00:00:00.0";"2021-03-12 23:59:00.0";"18:00";"Lectura y dinamización de ambos cuentos. Para niños y niñas de 3 a 5 años. Actividad virtual. Imprescindible inscripción previa.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c875aa8c5e47710VgnVCM1000001d4a900aRCRD";"Leyendo cuentos en marzo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1de61ca550156710VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CursosTalleres";"/usuario/Niños";
11286377;"De 3 a 5 años: 'Alicia en el país de las Maravillas' y 'Blancanieves'";"";"1";"0";"";"";"2021-03-10 00:00:00.0";"2021-03-10 23:59:00.0";"18:00";"Lectura y dinamización de ambos cuentos. Para niños y niñas de 3 a 5 años. Actividad virtual. Imprescindible inscripción previa.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0cc7cc9316166710VgnVCM1000001d4a900aRCRD";"Leyendo cuentos en marzo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1de61ca550156710VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CursosTalleres";"/usuario/Niños";
11304572;"De 3 a 5 años: 'El monstruo de los colores' y Una mosca muy lista'";"";"1";"0";"";"";"2021-02-25 00:00:00.0";"2021-02-25 23:59:00.0";"18:00";"Lectura y dinamización de ambos cuentos. Para niños y niñas de 3 a 5 años. Actividad virtual. Imprescindible inscripción previa.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8d60c7427ea17710VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CursosTalleres";"/usuario/Niños";
